"session_id","question","response"
"559825ac-dd4e-11ef-b02c-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies."
"56b015c6-dd4e-11ef-a609-0242ac120003",question1,Resource Alignment Coordinator
"56b015c6-dd4e-11ef-a609-0242ac120003",question2,"References, Education, Prior Experience, Soft Skills"
"56b015c6-dd4e-11ef-a609-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
a8a78d46-dd4e-11ef-9db1-0242ac120003,question1,Resource Operations Coordinator
a8a78d46-dd4e-11ef-9db1-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
a8a78d46-dd4e-11ef-9db1-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
cc8c742e-dd4e-11ef-9101-0242ac120003,question1,Resource Operations Coordinator
cc8c742e-dd4e-11ef-9101-0242ac120003,question2,"Soft Skills, Education, Prior Experience, References"
cc8c742e-dd4e-11ef-9101-0242ac120003,question3,"The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10., The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“."
"07760398-dd4f-11ef-9101-0242ac120003",question1,Resource Operations Coordinator
"07760398-dd4f-11ef-9101-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"07760398-dd4f-11ef-9101-0242ac120003",question3,"The candidate has had 4 years of experience in the position., The candidate‘s „References“ have received the maximal score of 10."
dd7f0cc2-dd50-11ef-af32-0242ac120003,question1,Resource Operations Coordinator
dd7f0cc2-dd50-11ef-af32-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
dd7f0cc2-dd50-11ef-af32-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
e70151ba-dd50-11ef-b02c-0242ac120003,question1,Resource Operations Coordinator
e70151ba-dd50-11ef-b02c-0242ac120003,question2,"Education, References, Prior Experience, Soft Skills"
e70151ba-dd50-11ef-b02c-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"4eaad07a-dd51-11ef-a015-0242ac120003",question1,Resource Operations Coordinator
"4eaad07a-dd51-11ef-a015-0242ac120003",question2,"Soft Skills, Education, References, Prior Experience"
"4eaad07a-dd51-11ef-a015-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate‘s „References“ have received the maximal score of 10."
"5901dd1a-dd52-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"5901dd1a-dd52-11ef-b02c-0242ac120003",question2,Education
"5901dd1a-dd52-11ef-b02c-0242ac120003",question3,"The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“."
"5901dd1a-dd52-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"5901dd1a-dd52-11ef-b02c-0242ac120003",question2,"Prior Experience, Adaptability, Education, References, Technical Skills, Soft Skills"
"5901dd1a-dd52-11ef-b02c-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
ca723602-dd52-11ef-a609-0242ac120003,question1,Resource Operations Coordinator
ca723602-dd52-11ef-a609-0242ac120003,question2,"Prior Experience, Soft Skills, Education, References"
ca723602-dd52-11ef-a609-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
"49ac2680-dd53-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"49ac2680-dd53-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"49ac2680-dd53-11ef-b02c-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
b7bef22e-dd53-11ef-8bc0-0242ac120003,question1,Resource Operations Coordinator
b7bef22e-dd53-11ef-8bc0-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
b7bef22e-dd53-11ef-8bc0-0242ac120003,question3,"The candidate‘s „References“ have received the maximal score of 10., The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“."
d520f362-dd53-11ef-9101-0242ac120003,question1,Resource Operations Coordinator
d520f362-dd53-11ef-9101-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
d520f362-dd53-11ef-9101-0242ac120003,question3,"The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
"647896aa-dd54-11ef-af32-0242ac120003",question1,Resource Operations Coordinator
"647896aa-dd54-11ef-af32-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"647896aa-dd54-11ef-af32-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate‘s „References“ have received the maximal score of 10."
"6e6583da-dd54-11ef-a609-0242ac120003",question1,Resource Operations Coordinator
"6e6583da-dd54-11ef-a609-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"6e6583da-dd54-11ef-a609-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"4d551a1a-dd55-11ef-8bc0-0242ac120003",question1,Resource Operations Coordinator
"4d551a1a-dd55-11ef-8bc0-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"4d551a1a-dd55-11ef-8bc0-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate‘s „References“ have received the maximal score of 10."
be18c084-dd56-11ef-b02c-0242ac120003,question1,Resource Operations Coordinator
be18c084-dd56-11ef-b02c-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
be18c084-dd56-11ef-b02c-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has received 10 reference letters from previous companies."
"1715ac42-dd57-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"1715ac42-dd57-11ef-b02c-0242ac120003",question2,"Soft Skills, References, Education, Prior Experience"
"1715ac42-dd57-11ef-b02c-0242ac120003",question3,"The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“."
"5abafba4-dd58-11ef-9101-0242ac120003",question1,Resource Operations Coordinator
"5abafba4-dd58-11ef-9101-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"5abafba4-dd58-11ef-9101-0242ac120003",question3,"The candidate has had 4 years of experience in the position., The candidate‘s „References“ have received the maximal score of 10."
f24cb72c-dd59-11ef-8bc0-0242ac120003,question1,Resource Operations Coordinator
f24cb72c-dd59-11ef-8bc0-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
f24cb72c-dd59-11ef-8bc0-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"57a96f8e-dd5a-11ef-9db1-0242ac120003",question1,Resource Operations Coordinator
"57a96f8e-dd5a-11ef-9db1-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"57a96f8e-dd5a-11ef-9db1-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"6a52a7c2-dd5a-11ef-b02c-0242ac120003",question1,Team Coordinator
"6a52a7c2-dd5a-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"6a52a7c2-dd5a-11ef-b02c-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
"6a52a7c2-dd5a-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"6a52a7c2-dd5a-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"6a52a7c2-dd5a-11ef-b02c-0242ac120003",question3,"The candidate‘s „References“ have received the maximal score of 10., The candidate has received 10 reference letters from previous companies., The candidate has had 4 years of experience in the position., The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“."
f8058624-dd5b-11ef-9101-0242ac120003,question1,Resource Operations Coordinator
f8058624-dd5b-11ef-9101-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
f8058624-dd5b-11ef-9101-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate‘s „References“ have received the maximal score of 10."
"330a7900-dd5c-11ef-8bc0-0242ac120003",question1,Resource Operations Coordinator
"330a7900-dd5c-11ef-8bc0-0242ac120003",question2,"Soft Skills, References, Education, Prior Experience"
"330a7900-dd5c-11ef-8bc0-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies."
"83abeb00-dd5c-11ef-8c13-0242ac120003",question1,Resource Operations Coordinator
"83abeb00-dd5c-11ef-8c13-0242ac120003",question2,"Prior Experience, Education, Soft Skills, References"
"83abeb00-dd5c-11ef-8c13-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"71f8cfb2-dd5d-11ef-8bc0-0242ac120003",question1,Resource Operations Coordinator
"71f8cfb2-dd5d-11ef-8bc0-0242ac120003",question2,"Prior Experience, References, Education, Soft Skills"
"71f8cfb2-dd5d-11ef-8bc0-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
a178e484-dd5d-11ef-b02c-0242ac120003,question1,Resource Operations Coordinator
a178e484-dd5d-11ef-b02c-0242ac120003,question2,"References, Soft Skills, Prior Experience, Education"
a178e484-dd5d-11ef-b02c-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate‘s „References“ have received the maximal score of 10."
c6982702-dd5d-11ef-af32-0242ac120003,question1,Resource Operations Coordinator
c6982702-dd5d-11ef-af32-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
c6982702-dd5d-11ef-af32-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"59faa2f4-dd5e-11ef-8b3e-0242ac120003",question1,Resource Operations Coordinator
"59faa2f4-dd5e-11ef-8b3e-0242ac120003",question2,"Education, References, Prior Experience, Soft Skills"
"59faa2f4-dd5e-11ef-8b3e-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"931e101e-dd60-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"931e101e-dd60-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, Soft Skills, References"
"931e101e-dd60-11ef-b02c-0242ac120003",question3,"The candidate has received 10 reference letters from previous companies., The candidate has had 4 years of experience in the position."
"702da028-dd61-11ef-8b3e-0242ac120003",question1,Resource Operations Coordinator
"702da028-dd61-11ef-8b3e-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"702da028-dd61-11ef-8b3e-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"423062c2-dd62-11ef-8b3e-0242ac120003",question1,Resource Operations Coordinator
"423062c2-dd62-11ef-8b3e-0242ac120003",question2,"Prior Experience, Soft Skills, References, Education"
"423062c2-dd62-11ef-8b3e-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
e66761ce-dd62-11ef-af32-0242ac120003,question1,Resource Operations Coordinator
e66761ce-dd62-11ef-af32-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
e66761ce-dd62-11ef-af32-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"14afda8e-dd63-11ef-9101-0242ac120003",question1,Resource Operations Coordinator
"14afda8e-dd63-11ef-9101-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"14afda8e-dd63-11ef-9101-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"47726928-dd63-11ef-af32-0242ac120003",question1,Resource Operations Coordinator
"47726928-dd63-11ef-af32-0242ac120003",question2,"Prior Experience, References, Soft Skills, Education"
"47726928-dd63-11ef-af32-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"612393ec-dd63-11ef-8b3e-0242ac120003",question1,Resource Operations Coordinator
"612393ec-dd63-11ef-8b3e-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"612393ec-dd63-11ef-8b3e-0242ac120003",question3,"The candidate‘s „References“ have received the maximal score of 10., The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“."
a097b2ec-dd63-11ef-8b3e-0242ac120003,question1,Resource Operations Coordinator
a097b2ec-dd63-11ef-8b3e-0242ac120003,question2,"References, Education, Soft Skills, Prior Experience"
a097b2ec-dd63-11ef-8b3e-0242ac120003,question3,The candidate‘s „References“ have received the maximal score of 10.
"4548290c-dd64-11ef-8bc0-0242ac120003",question1,Resource Operations Coordinator
"4548290c-dd64-11ef-8bc0-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"4548290c-dd64-11ef-8bc0-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10., The candidate has had 4 years of experience in the position."
"50c88592-dd64-11ef-9101-0242ac120003",question1,Resource Operations Coordinator
"50c88592-dd64-11ef-9101-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"50c88592-dd64-11ef-9101-0242ac120003",question3,"The candidate‘s „References“ have received the maximal score of 10., The candidate has had 4 years of experience in the position."
cefd7e72-dd64-11ef-af32-0242ac120003,question1,Operations Lead
cefd7e72-dd64-11ef-af32-0242ac120003,question2,"Education, Soft Skills, References, Prior Experience"
cefd7e72-dd64-11ef-af32-0242ac120003,question3,"The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies."
cefd7e72-dd64-11ef-af32-0242ac120003,question1,Team Coordinator
cefd7e72-dd64-11ef-af32-0242ac120003,question2,"References, Prior Experience, Soft Skills, Education"
cefd7e72-dd64-11ef-af32-0242ac120003,question3,The candidate‘s „References“ have received the maximal score of 10.
"8d160988-dd65-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"8d160988-dd65-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"8d160988-dd65-11ef-b02c-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
a489c55a-dd65-11ef-8bc0-0242ac120003,question1,Resource Operations Coordinator
a489c55a-dd65-11ef-8bc0-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
a489c55a-dd65-11ef-8bc0-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
a8541e56-dd65-11ef-af32-0242ac120003,question1,Resource Operations Coordinator
a8541e56-dd65-11ef-af32-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
a8541e56-dd65-11ef-af32-0242ac120003,question3,"The candidate‘s „References“ have received the maximal score of 10., The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies."
ee705994-dd66-11ef-9db1-0242ac120003,question1,Resource Operations Coordinator
ee705994-dd66-11ef-9db1-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
ee705994-dd66-11ef-9db1-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
b2b4e120-dd68-11ef-9101-0242ac120003,question1,Resource Operations Coordinator
b2b4e120-dd68-11ef-9101-0242ac120003,question2,"Prior Experience, References, Education, Soft Skills"
b2b4e120-dd68-11ef-9101-0242ac120003,question3,"The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies."
ca10f3fe-dd68-11ef-af32-0242ac120003,question1,Resource Operations Coordinator
ca10f3fe-dd68-11ef-af32-0242ac120003,question2,"Education, Prior Experience, References, Soft Skills"
ca10f3fe-dd68-11ef-af32-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"08b5979a-dd69-11ef-8bc0-0242ac120003",question1,Resource Operations Coordinator
"08b5979a-dd69-11ef-8bc0-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"08b5979a-dd69-11ef-8bc0-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
"0a2dc28c-dd69-11ef-aae8-0242ac120003",question1,Resource Operations Coordinator
"0a2dc28c-dd69-11ef-aae8-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"0a2dc28c-dd69-11ef-aae8-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"221089a2-dd69-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"221089a2-dd69-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"221089a2-dd69-11ef-b02c-0242ac120003",question3,"The candidate has received 10 reference letters from previous companies., The candidate has had 4 years of experience in the position."
"221089a2-dd69-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"221089a2-dd69-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"221089a2-dd69-11ef-b02c-0242ac120003",question3,"The candidate has received 10 reference letters from previous companies., The candidate has had 4 years of experience in the position."
"68714124-dd6a-11ef-943e-0242ac120003",question1,Resource Operations Coordinator
"68714124-dd6a-11ef-943e-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"68714124-dd6a-11ef-943e-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
"6fb485b8-dd6a-11ef-af32-0242ac120003",question1,Resource Operations Coordinator
"6fb485b8-dd6a-11ef-af32-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"6fb485b8-dd6a-11ef-af32-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate‘s „References“ have received the maximal score of 10."
"99b8fea2-dd6a-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"99b8fea2-dd6a-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"99b8fea2-dd6a-11ef-b02c-0242ac120003",question3,"The candidate‘s „References“ have received the maximal score of 10., The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position."
"99b8fea2-dd6a-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"99b8fea2-dd6a-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"99b8fea2-dd6a-11ef-b02c-0242ac120003",question3,"The candidate‘s „References“ have received the maximal score of 10., The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position."
ee38d348-dd6b-11ef-a609-0242ac120003,question1,Resource Operations Coordinator
ee38d348-dd6b-11ef-a609-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
ee38d348-dd6b-11ef-a609-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"41424c86-dd6c-11ef-aae8-0242ac120003",question1,Resource Operations Coordinator
"41424c86-dd6c-11ef-aae8-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"41424c86-dd6c-11ef-aae8-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"56f63646-dd6c-11ef-a609-0242ac120003",question1,Resource Operations Coordinator
"56f63646-dd6c-11ef-a609-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"56f63646-dd6c-11ef-a609-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
f4f87cb4-dd6c-11ef-8bc0-0242ac120003,question1,Resource Operations Coordinator
f4f87cb4-dd6c-11ef-8bc0-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
f4f87cb4-dd6c-11ef-8bc0-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"6de8be68-dd6d-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"6de8be68-dd6d-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References"
"6de8be68-dd6d-11ef-b02c-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate‘s „References“ have received the maximal score of 10."
"6de8be68-dd6d-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"6de8be68-dd6d-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"6de8be68-dd6d-11ef-b02c-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
"7388e096-dd6d-11ef-a609-0242ac120003",question1,Resource Operations Coordinator
"7388e096-dd6d-11ef-a609-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"7388e096-dd6d-11ef-a609-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
aa7f99d2-dd6d-11ef-8bc0-0242ac120003,question1,Resource Operations Coordinator
aa7f99d2-dd6d-11ef-8bc0-0242ac120003,question2,"Soft Skills, References, Education, Prior Experience"
aa7f99d2-dd6d-11ef-8bc0-0242ac120003,question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"02105c18-dd6e-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"02105c18-dd6e-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"02105c18-dd6e-11ef-b02c-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"245abb6a-dd6e-11ef-a8d9-0242ac120003",question1,Resource Operations Coordinator
"245abb6a-dd6e-11ef-a8d9-0242ac120003",question2,"Soft Skills, References, Prior Experience, Education"
"245abb6a-dd6e-11ef-a8d9-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
c8059d4c-dd6f-11ef-b02c-0242ac120003,question1,Resource Operations Coordinator
c8059d4c-dd6f-11ef-b02c-0242ac120003,question2,"Prior Experience, Education, References, Soft Skills"
